iter	Passed	Remaining
627	1415	838
628	1417	835
629	1419	833
630	1421	831
631	1423	829
632	1426	826
633	1428	824
634	1431	822
635	1433	820
636	1435	818
637	1438	816
638	1440	814
639	1443	811
640	1445	809
641	1448	807
642	1450	805
643	1453	803
644	1456	801
645	1459	799
646	1462	798
647	1465	796
648	1467	793
649	1470	791
650	1474	790
651	1477	788
652	1479	786
653	1482	784
654	1485	782
655	1487	780
656	1490	777
657	1493	776
658	1496	774
659	1498	772
660	1502	770
661	1505	768
662	1510	768
663	1513	765
664	1516	764
665	1519	761
666	1522	759
667	1525	758
668	1528	756
669	1530	753
670	1533	751
671	1535	749
672	1538	747
673	1540	745
674	1543	743
675	1545	740
676	1548	738
677	1550	736
678	1553	734
679	1557	732
680	1560	730
681	1562	728
682	1564	725
683	1567	724
684	1569	721
685	1572	719
686	1574	717
687	1576	714
688	1578	712
689	1581	710
690	1583	708
691	1585	705
692	1588	703
693	1590	701
694	1593	699
695	1596	697
696	1598	695
697	1601	692
698	1603	690
699	1605	688
700	1607	685
701	1610	683
702	1611	681
703	1613	678
704	1616	676
705	1618	674
706	1620	671
707	1622	669
708	1625	667
709	1627	664
710	1629	662
711	1631	659
712	1633	657
713	1635	654
714	1637	652
715	1639	650
716	1641	647
717	1643	645
718	1645	643
719	1647	640
720	1649	638
721	1651	635
722	1653	633
723	1655	631
724	1657	628
725	1659	626
726	1661	624
727	1663	621
728	1665	619
729	1667	616
730	1669	614
731	1671	612
732	1673	609
733	1675	607
734	1677	604
735	1679	602
736	1681	600
737	1683	597
738	1685	595
739	1687	593
740	1689	590
741	1691	588
742	1693	585
743	1696	583
744	1698	581
745	1699	578
746	1701	576
747	1703	574
748	1705	571
749	1707	569
750	1709	566
751	1711	564
752	1713	562
753	1715	559
754	1717	557
755	1720	555
756	1722	552
757	1724	550
758	1727	548
759	1729	546
760	1731	543
761	1733	541
762	1736	539
763	1740	537
764	1742	535
765	1745	533
766	1748	531
767	1750	528
768	1752	526
769	1754	524
770	1756	521
771	1758	519
772	1760	517
773	1762	514
774	1764	512
775	1766	510
776	1769	507
777	1771	505
778	1773	503
779	1775	500
780	1777	498
781	1780	496
782	1782	494
783	1784	491
784	1786	489
785	1789	487
786	1791	484
787	1793	482
788	1796	480
789	1799	478
790	1801	475
791	1803	473
792	1805	471
793	1807	469
794	1810	466
795	1812	464
796	1815	462
797	1817	460
798	1820	457
799	1822	455
800	1825	453
801	1827	451
802	1829	448
803	1831	446
804	1833	444
805	1835	441
806	1837	439
807	1839	437
808	1841	434
809	1843	432
810	1845	429
811	1846	427
812	1849	425
813	1851	423
814	1853	420
815	1855	418
816	1857	416
817	1859	413
818	1861	411
819	1863	409
820	1865	406
821	1867	404
822	1869	402
823	1871	399
824	1873	397
825	1875	395
826	1877	392
827	1879	390
828	1882	388
829	1884	385
830	1886	383
831	1888	381
832	1890	379
833	1893	376
834	1895	374
835	1898	372
836	1900	370
837	1902	367
838	1905	365
839	1907	363
840	1910	361
841	1913	359
842	1915	356
843	1918	354
844	1920	352
845	1923	350
846	1925	347
847	1927	345
848	1930	343
849	1932	341
850	1935	338
851	1937	336
852	1940	334
853	1944	332
854	1947	330
855	1950	328
856	1952	325
857	1954	323
858	1959	321
859	1961	319
860	1964	317
861	1966	314
862	1969	312
863	1971	310
864	1974	308
865	1976	305
866	1978	303
867	1981	301
868	1983	298
869	1985	296
870	1988	294
871	1990	292
872	1992	289
873	1995	287
874	1997	285
875	1999	283
876	2002	280
877	2004	278
878	2006	276
879	2008	273
880	2010	271
881	2012	269
882	2014	266
883	2016	264
884	2018	262
885	2020	259
886	2023	257
887	2025	255
888	2028	253
889	2030	250
890	2033	248
891	2035	246
892	2037	244
893	2040	241
894	2042	239
895	2045	237
896	2047	235
897	2049	232
898	2052	230
899	2054	228
900	2056	226
901	2059	223
902	2061	221
903	2064	219
904	2066	216
905	2069	214
906	2071	212
907	2073	210
908	2075	207
909	2078	205
910	2080	203
911	2082	200
912	2084	198
913	2086	196
914	2089	194
915	2091	191
916	2093	189
917	2095	187
918	2097	184
919	2099	182
920	2102	180
921	2105	178
922	2107	175
923	2109	173
924	2112	171
925	2114	168
926	2117	166
927	2120	164
928	2123	162
929	2125	160
930	2128	157
931	2130	155
932	2132	153
933	2134	150
934	2137	148
935	2140	146
936	2142	144
937	2144	141
938	2146	139
939	2148	137
940	2150	134
941	2153	132
942	2155	130
943	2157	127
944	2159	125
945	2161	123
946	2163	121
947	2165	118
948	2168	116
949	2170	114
950	2172	111
951	2175	109
952	2177	107
953	2179	105
954	2180	102
955	2182	100
956	2184	98
957	2187	95
958	2189	93
959	2192	91
960	2194	89
961	2196	86
962	2199	84
963	2201	82
964	2204	79
965	2206	77
966	2209	75
967	2211	73
968	2213	70
969	2215	68
970	2217	66
971	2220	63
972	2222	61
973	2224	59
974	2226	57
975	2228	54
976	2230	52
977	2233	50
978	2235	47
979	2237	45
980	2239	43
981	2241	41
982	2243	38
983	2245	36
984	2247	34
985	2249	31
986	2251	29
987	2253	27
988	2256	25
989	2258	22
990	2260	20
991	2262	18
992	2264	15
993	2266	13
994	2268	11
995	2270	9
996	2272	6
997	2274	4
998	2276	2
999	2279	0
